time,normalized_saliency,sa_normalized_saliency,other_normalized_saliency,normalized_saliency_smoothed,sa_normalized_saliency_smoothed,other_normalized_saliency_smoothed,Highlight,Task_D1_wind,Task
1,0.0459997840981972,0.0550428572549169,0.0307742005129613,0.0459997840981972,0.0550428572549169,0.0307742005129613,-1,3.739590520355234,3.739590520355234
2,0.0035479401812932,0.0800382776068502,0.0321436148328615,0.0247738621397452,0.0675405674308835,0.0314589076729114,-1,3.739590520355234,3.739590520355234
3,0.0771223581207146,0.0643271469420637,0.029770246512235,0.0422233608000683,0.0664694272679436,0.0308960206193526,-1,3.739590520355234,3.739590520355234
4,0.1316372572097218,0.0610653727315015,0.0280117013803315,0.0707691851705765,0.0684769324268051,0.0299751875751426,-1,3.739590520355234,3.739590520355234
5,0.1085105426524877,0.0627677327184594,0.0287577244305649,0.1057567193276414,0.0627200841306749,0.0288465574410438,-1,3.739590520355234,3.739590520355234
6,0.0935212102476923,0.0817132655085799,0.0292412512823325,0.1112230033699673,0.0685154569861802,0.0286702256977429,-1,3.739590520355234,3.739590520355234
7,0.074303723884199,0.1229565805162821,0.0298611701972839,0.092111825594793,0.0891458595811071,0.0292867153033937,-1,3.739590520355234,3.739590520355234
8,0.0726980430279305,0.1768120616461771,0.0299129663539377,0.0801743257199406,0.1271606358903463,0.029671795944518,-1,3.739590520355234,3.739590520355234
9,0.0669902940367417,0.1846477304218813,0.0300970872891373,0.0713306869829571,0.1614721241947802,0.029957074613453,-1,3.739590520355234,3.739590520355234
10,0.0854488466926109,0.157652537804618,0.0295016501066899,0.0750457279190944,0.1730374432908921,0.029837234583255,-1,3.739590520355234,3.739590520355234
11,0.1070857788707124,0.0542463226753904,0.0288036845525576,0.086508306533355,0.1321821969672966,0.029467473982795,1,3.739590520355234,3.739590520355234
12,0.1122758688361205,0.0510042107387251,0.028636262295609,0.1016034981331479,0.0876343570729112,0.0289805323182855,1,3.739590520355234,3.739590520355234
13,0.254160036957189,0.0573937356235815,0.0240593536465422,0.157840561554674,0.054214756345899,0.0271664334982363,1,3.739590520355234,3.739590520355234
14,0.2164667803973403,0.0204749064855693,0.0252752651484728,0.1943008953968833,0.0429576176159586,0.0259902936968747,1,3.739590520355234,3.739590520355234
15,0.4071873543475292,0.1039754668562703,0.0191229885694345,0.2926047239006861,0.0606147029884737,0.0228192024548165,1,3.739590520355234,3.739590520355234
16,0.4040766260708587,0.0488226239085728,0.0192233346428755,0.3425769202719094,0.0577576657501375,0.0212071961202609,1,3.739590520355234,3.739590520355234
17,0.5001410237128604,0.0853900711637183,0.0161244831060367,0.4371350013770828,0.0793960539761871,0.0181569354394489,1,3.739590520355234,3.739590520355234
18,0.514469136501975,0.1130536489024153,0.0156622859192911,0.4728955954285647,0.0824221146582354,0.0170033678894011,1,3.739590520355234,3.739590520355234
19,0.4680396083443189,0.0702544537583984,0.0171600126340542,0.4942165895197181,0.0895660579415107,0.0163155938864607,1,3.739590520355234,3.739590520355234
20,0.4601179375648966,0.0098038076148853,0.0174155504011323,0.4808755608037301,0.0643706367585664,0.0167459496514925,1,3.739590520355234,3.739590520355234
21,0.4906827560654938,0.0104012549586233,0.0164295885140163,0.472946767324903,0.0301531721106357,0.0170017171830676,1,3.739590520355234,3.739590520355234
22,0.4072726161837682,0.0116736912356661,0.0191202381876203,0.4526911032713861,0.0106262512697249,0.017655125700923,1,3.739590520355234,3.739590520355234
23,0.3432234205630168,0.0207069571728218,0.0211863412721607,0.4137262642707595,0.0142606344557037,0.0189120559912658,1,3.739590520355234,3.739590520355234
24,0.3266128652970168,0.0628698048242367,0.0217221656355801,0.3590363006812673,0.0317501510775749,0.0206762483651204,1,3.739590520355234,3.739590520355234
25,0.179985111097949,0.0294448344101852,0.0264520931903887,0.2832737989859942,0.0376738654690812,0.0231202000327098,1,3.739590520355234,3.739590520355234
26,0.2849167421173594,0.1184717251335207,0.0230672018671819,0.2638382395041084,0.0702621214559808,0.0237471535643836,1,3.739590520355234,3.739590520355234
27,0.1900451523441105,0.1585892973986287,0.0261275757308351,0.2183156685198063,0.1021686189807782,0.0252156235961352,1,3.739590520355234,3.739590520355234
28,0.2256117813641192,0.1733553860285663,0.0249802651172864,0.2335245586085297,0.1501388028535719,0.0247250142384345,1,3.739590520355234,3.739590520355234
