time,normalized_saliency,sa_normalized_saliency,other_normalized_saliency,normalized_saliency_smoothed,sa_normalized_saliency_smoothed,other_normalized_saliency_smoothed,Highlight,Task_D3_zone,Task
1,0.0001706148402879,0.0,0.0322525608116036,0.0001706148402879,0.0,0.0322525608116036,-1,1,1
2,0.0437766524548491,0.079553802240676,0.0308459144369403,0.0219736336475685,0.039776901120338,0.0315492376242719,-1,1,1
3,0.0445175981008619,0.0767425042156401,0.0308220129644883,0.029488288465333,0.052098768818772,0.0313068294043441,-1,1,1
4,0.0341883320902308,0.0736362341732024,0.0311552150938635,0.0408275275486473,0.0766441802098395,0.0309410474984307,-1,1,1
5,0.0381538661659311,0.0892252050681856,0.0310272946398086,0.0389532654523413,0.0798679811523427,0.0310015075660535,-1,1,1
6,0.0039312941261647,0.0484710471271116,0.0321312485765753,0.0254244974607755,0.0704441621228332,0.0314379194367491,-1,1,1
7,0.004729329059598,0.0342816749723383,0.0321055055142065,0.0156048297838979,0.0573259757225452,0.0317546829101968,-1,1,1
8,7.687551983092522e-05,0.0336306672248004,0.0322555846606506,0.0029124995685312,0.0387944631080834,0.0321641129171441,-1,1,1
9,0.0003265740056754,0.0401172315061721,0.0322475298707846,0.0017109261950348,0.0360098579011036,0.0322028733485472,-1,1,1
10,0.0302870688855067,0.0949859769811744,0.0312810622940159,0.010230172803671,0.0562446252373823,0.031928058941817,-1,1,1
11,0.0208103837140466,0.0221536030372265,0.0315867618156759,0.0171413422017429,0.0524189371748577,0.0317051179934921,1,1,1
12,0.0204574903134548,0.0116103587777921,0.0315981454737595,0.0238516476376694,0.0429166462653977,0.0314886565278171,1,1,1
13,0.1588831139245124,0.131677755202028,0.0271328027766286,0.0667169959840046,0.0551472390056822,0.0301059033553546,1,1,1
14,0.159206439444001,0.1887725549590038,0.0271223729211612,0.1128490145606561,0.1106868896462747,0.0286177737238498,1,1,1
15,0.4032006927319015,0.0359594097413428,0.0192515905570354,0.2404300820334717,0.1188032399674582,0.0245022554182751,1,1,1
16,0.4023675933670932,0.0859698210087263,0.0192784647300937,0.3215915751809986,0.1035672619030243,0.0218841427360968,1,1,1
17,0.4854000247080853,0.1107963835760673,0.0165999992029649,0.4303227702690267,0.0775752047753788,0.0183766848300314,1,1,1
18,0.5176285688024725,0.0755859369209081,0.0155603687483073,0.4684653956258837,0.0907840471685672,0.0171462775604553,1,1,1
19,0.5154682054706732,0.0331229514253409,0.0156300578880428,0.5061655996604103,0.0731684239741054,0.0159301419464383,1,1,1
20,0.3667479426056583,0.0604784164350576,0.0204274857223981,0.466614905626268,0.0563957682604355,0.0172059707862494,1,1,1
21,0.429866240965277,0.052356793109551,0.0183914115817652,0.4373607963472028,0.0486527203233165,0.0181496517307353,1,1,1
22,0.3839519084993241,0.0332787282937991,0.0198725190806669,0.3935220306900864,0.0487046459461359,0.0195638054616101,1,1,1
23,0.2586951956709473,0.0244951820028702,0.0239130582041629,0.3575044483785161,0.0367102344687401,0.0207256629555317,1,1,1
24,0.2565053354071567,0.028379345344269,0.0239836988578336,0.2997174798591427,0.0287177518803128,0.0225897587142212,1,1,1
25,0.2384518600738394,0.0794773531385174,0.0245660690298761,0.2512174637173145,0.0441172934952189,0.0241542753639576,1,1,1
26,0.2770830860814995,0.074790554943544,0.0233199004489838,0.2573467605208319,0.0608824178087768,0.0239565561122312,1,1,1
27,0.1764513219084345,0.1314912093127189,0.0265660863900504,0.2306620893545912,0.0952530391315934,0.0248173519563035,1,1,1
28,0.1613595192313184,0.1510411182122055,0.0270529187344736,0.2049646424070842,0.1191076274894895,0.0256463018578359,1,1,1
