time,normalized_saliency,sa_normalized_saliency,other_normalized_saliency,normalized_saliency_smoothed,sa_normalized_saliency_smoothed,other_normalized_saliency_smoothed,Highlight,Task_D2_zone,Task
1,0.0004062319557624,0.0315631745895403,0.0322449602594915,0.0004062319557624,0.0315631745895403,0.0322449602594915,-1,1,1
2,0.0005003679601714,0.0335659111690753,0.032241923614188,0.0004532999579669,0.0325645428793078,0.0322434419368397,-1,1,1
3,0.0280295176785008,0.0331495388862131,0.0313538865264999,0.0096453725314782,0.0327595415482763,0.0319469234667265,-1,1,1
4,0.0305735099383415,0.0359865966298695,0.0312718222600535,0.0197011318590046,0.0342340155617193,0.0316225441335805,-1,1,1
5,0.0449566709090925,0.0221874997205007,0.0308078493255131,0.0345198995086449,0.0304412117455278,0.0311445193706888,-1,1,1
6,0.0040545553859838,0.0035690183993597,0.0321272724069037,0.0265282454111393,0.02058103824991,0.0314023146641567,-1,1,1
7,0.004467137795611,0.0506788302459725,0.0321139632969157,0.0178261213635624,0.0254784494552776,0.0316830283431108,-1,1,1
8,0.026619926544369,0.0541085122771405,0.0313993572082461,0.0117138732419879,0.0361187869741576,0.0318801976373552,-1,1,1
9,0.0202465380441592,0.0442208776836759,0.0316049503856722,0.0171112007947131,0.0496694067355963,0.0317060902969447,-1,1,1
10,0.0089020822203973,0.0391636205562791,0.0319709005735355,0.0185895156029751,0.0458310035056985,0.0316584027224846,-1,1,1
11,0.0325160504418712,0.0615713568222701,0.0312091596631654,0.0205548902354759,0.048318618354075,0.0315950035407911,1,1,1
12,0.0362607806270738,0.032183731599288,0.0310883619152556,0.0258929710964474,0.0443062363259457,0.0314228073839855,1,1,1
13,0.0644332435123704,0.117033880848799,0.0301795727899235,0.0444033581937718,0.0702629897567857,0.0308256981227815,1,1,1
14,0.1406657277166498,0.0397682555888796,0.0277204603962371,0.080453250618698,0.0629952893456556,0.0296627983671387,1,1,1
15,0.5275830143581777,0.0179336700592634,0.0152392576013491,0.2442273285290659,0.058245268832314,0.0243797635958365,1,1,1
