time,normalized_saliency,sa_normalized_saliency,other_normalized_saliency,normalized_saliency_smoothed,sa_normalized_saliency_smoothed,other_normalized_saliency_smoothed,Highlight,Task_D3_wind,Task
1,0.0701500608250601,0.0700667718002041,0.0299951593282238,0.0701500608250601,0.0700667718002041,0.0299951593282238,-1,2.6411250663737613,2.6411250663737613
2,0.0412148695309788,0.0396631757534243,0.0309285525957748,0.0556824651780194,0.0548649737768142,0.0304618559619993,-1,2.6411250663737613,2.6411250663737613
3,0.0575663462328485,0.0400431353216662,0.0304010856053919,0.0563104255296291,0.0499243609584316,0.0304415991764635,-1,2.6411250663737613,2.6411250663737613
4,0.0517103817446264,0.0511263133702953,0.0305899876856572,0.0501638658361513,0.0436108748151286,0.030639875295608,-1,2.6411250663737613,2.6411250663737613
5,0.0273317350677482,0.0496812122770541,0.0313763956429758,0.0455361543484077,0.0469502203230052,0.0307891563113416,-1,2.6411250663737613,2.6411250663737613
6,0.0073541607041397,0.0871388471022471,0.0320208335256729,0.0287987591721715,0.0626487909165322,0.0313290722847686,-1,2.6411250663737613,2.6411250663737613
7,0.0020826005497668,0.0911441086606973,0.0321908838532333,0.0122561654405516,0.0759880560133328,0.0318627043406273,-1,2.6411250663737613,2.6411250663737613
8,0.0348279715054123,0.0462911330981108,0.0311345815643415,0.0147549109197729,0.0748580296203517,0.0317820996477492,-1,2.6411250663737613,2.6411250663737613
9,0.0499250797210854,4.877742537669405e-05,0.0306475780735133,0.0289452172587548,0.0458280063947282,0.0313243478303627,-1,2.6411250663737613,2.6411250663737613
10,0.0815208915930192,0.0016192713011558,0.029628358335709,0.0554246476065056,0.0159863939415477,0.0304701726578546,-1,2.6411250663737613,2.6411250663737613
11,0.0992152381239316,0.0258413597086635,0.0290575729637441,0.0768870698126787,0.009169802811732,0.0297778364576555,1,23.23762815837054,23.23762815837054
12,0.0761135825514189,0.0252374909631987,0.0298027876596316,0.0856165707561232,0.0175660406576727,0.0294962396530282,1,23.23762815837054,23.23762815837054
13,0.1586433322440218,0.047261066849463,0.0271405376695476,0.1113240509731241,0.0327799725071084,0.0286669660976411,1,23.23762815837054,23.23762815837054
14,0.2293094222148118,0.0082001830406179,0.0248609863801673,0.1546887790034175,0.0268995802844265,0.0272681039031155,1,23.23762815837054,23.23762815837054
15,0.4916987628916188,0.0217490552329901,0.0163968141002703,0.2932171724501508,0.025736768374357,0.0227994460499951,1,23.23762815837054,23.23762815837054
16,0.5689321891259345,0.0209613553574829,0.0139054132540021,0.4299801247441217,0.0169701978770303,0.0183877379114799,1,23.23762815837054,23.23762815837054
17,0.5933532204261391,0.0134799641214251,0.0131176380507697,0.5513280574812308,0.018730124903966,0.0144732884683473,1,23.23762815837054,23.23762815837054
18,0.636989527788303,0.0241667466216967,0.0117100152326353,0.5997583124467921,0.0195360220335349,0.0129110221791357,1,23.23762815837054,23.23762815837054
19,0.6175239462552087,0.0222988016678958,0.0123379372175739,0.6159555648232169,0.0199818374703392,0.012388530166993,1,23.23762815837054,23.23762815837054
20,0.5572496593567627,0.0064395711751548,0.0142822690530076,0.6039210444667581,0.0176350398215824,0.0127767405010723,1,23.23762815837054,23.23762815837054
