time,normalized_saliency,sa_normalized_saliency,other_normalized_saliency,normalized_saliency_smoothed,sa_normalized_saliency_smoothed,other_normalized_saliency_smoothed,Highlight,Task_D2_zone,Task
1,0.001643968793945,0.0,0.0322050332647114,0.001643968793945,0.0,0.0322050332647114,-1,1,1
2,0.0009402209769511,0.0,0.0322277348071951,0.001292094885448,0.0,0.0322163840359532,-1,1,1
3,0.0042235218078952,0.0003175528738316,0.0321218218771646,0.0022692371929304,0.0001058509579438,0.032184863316357,-1,1,1
4,0.0062465235071759,0.000880952540516,0.032056563757833,0.0038034220973407,0.0003995018047825,0.0321353734807309,-1,1,1
5,0.006976362040358,0.0007863965677148,0.0320330205793432,0.0058154691184764,0.0006616339940208,0.0320704687381136,-1,1,1
6,0.0001572812537131,1.0694732785233183e-05,0.0322529909272995,0.0044600556004156,0.0005593479470053,0.0321141917548253,-1,1,1
7,0.0001405302827865,1.016303790725527e-05,0.0322535312812004,0.0024247245256192,0.0002690847794691,0.0321798475959477,-1,1,1
8,0.001070658579342,0.0008426035007826,0.0322235271426018,0.0004561567052805,0.000287820423825,0.0322433497837006,-1,1,1
9,0.0034235465548178,0.0401122639131547,0.0321476275304897,0.0015449118056488,0.0136550101506148,0.0322082286514306,-1,1,1
10,0.0081432964797868,0.0492429160788285,0.0319953775329101,0.0042125005379822,0.030065927830922,0.0321221774020005,-1,1,1
11,0.0443440254587785,0.0371397089684352,0.0308276120819748,0.018636956164461,0.0421649629868062,0.0316568723817915,1,0,0
12,0.0219853850471615,0.0738415739552174,0.0315488585468657,0.0248242356619089,0.0534080663341604,0.0314572827205835,1,0,0
13,0.0233892482375785,0.0763151453297327,0.0315035726374974,0.0299062195811728,0.0624321427511284,0.031293347755446,1,0,0
14,0.0048746294277847,0.0497661160429626,0.0321008184055553,0.0167497542375082,0.0666409451093042,0.0317177498633061,1,0,0
15,0.2803188279148059,0.0905869661810406,0.0232155216801675,0.1028609018600564,0.072222742517912,0.0289399709077401,1,0,0
16,0.4690397207990511,0.0803072595838496,0.017127750941966,0.2514110593805472,0.0735534472692843,0.0241480303425629,1,0,0
17,0.5469850534106684,0.0655880242942884,0.0146133853738494,0.4321145340415085,0.0788274166863928,0.018318885998661,1,0,0
18,0.7100302222532618,0.0445651484133904,0.0093538637982818,0.5753516654876605,0.0634868107638428,0.0136983333713657,1,0,0
19,0.7136961686311585,0.0552614192663558,0.009235607463511,0.6569038147650296,0.0551381973246782,0.0110676188785474,1,0,0
