time,normalized_saliency,sa_normalized_saliency,other_normalized_saliency,normalized_saliency_smoothed,sa_normalized_saliency_smoothed,other_normalized_saliency_smoothed,Highlight,Task_D3_zone,Task
1,0.0093511279823466,0.0181840428619471,0.0319564152263759,0.0093511279823466,0.0181840428619471,0.0319564152263759,-1,1,1
2,0.0146072704407251,0.0726552409240858,0.0317868622438475,0.0119791992115358,0.0454196418930165,0.0318716387351117,-1,1,1
3,0.0158419951413498,0.0728853290221278,0.0317470324147951,0.0132667978548072,0.0545748709360536,0.0318301032950062,-1,1,1
4,0.0301262133583833,0.0346856885542625,0.0312862511819876,0.0201918263134861,0.0600754195001587,0.0316067152802101,-1,1,1
5,0.0232095143669438,0.026698791719287,0.0315093705042921,0.023059240955559,0.0447566030985591,0.0315142180336916,-1,1,1
6,0.046861518848402,0.0461273264264253,0.0307464026177934,0.033399082191243,0.0358372688999916,0.0311806747680244,-1,1,1
7,0.0599632948326594,0.0519164362193533,0.0303237646828174,0.0433447760160017,0.0415808514550219,0.0308598459349676,-1,1,1
8,0.012190417493717,0.1156569463176718,0.0318648252421381,0.0396717437249261,0.0712335696544835,0.030978330847583,-1,1,1
9,0.0024994287745988,0.1238004734684191,0.0321774377814645,0.0248843803669917,0.0971246186684814,0.0314553425688067,-1,1,1
10,0.0619223524324363,0.0854204309668083,0.030260569276373,0.0255373995669174,0.108292616917633,0.0314342774333252,-1,1,1
11,0.0146567605363095,0.0342204224465314,0.0317852657891513,0.0263595139144482,0.0811471089605862,0.0314077576156629,-1,0,0
12,0.0284901760741229,0.0001168112152953,0.031339026578254,0.0350230963476229,0.0399192215428783,0.0311282872145928,-1,0,0
13,0.0002090053552013,0.055824881685804,0.0322513224078967,0.0144519806552113,0.0300540384492102,0.0317918715917673,-1,0,0
14,0.0540524513406526,0.0316449583187541,0.0305144370535273,0.0275838775899923,0.0291955504066178,0.031368262013226,-1,0,0
15,0.1140872113908004,0.0014489200722057,0.0285778318906193,0.0561162226955514,0.0296395866922546,0.0304478637840144,-1,0,0
16,0.1351299196482288,0.0012799905340558,0.0278990348500571,0.1010898607932273,0.0114579563083385,0.0289971012647346,-1,0,0
17,0.1755595404569648,0.043598696942921,0.0265948535336462,0.141592223831998,0.0154425358497275,0.0276905734247742,-1,0,0
18,0.2001343570935219,0.0030360105928556,0.0258021175131121,0.1702746057329052,0.0159715660232775,0.0267653352989385,-1,0,0
19,0.1852348544155883,0.0370195333660629,0.0262827466317552,0.1869762506553583,0.0278847469672798,0.0262265725595045,-1,0,0
20,0.0692762331040994,0.08697888019371,0.0300233473192226,0.1515484815377365,0.0423448080508762,0.0273694038213633,-1,0,0
21,0.0961944560185177,0.065119828830602,0.0291550175477897,0.1169018478460685,0.063039414130125,0.0284870371662558,-1,0,0
22,0.1053918403567622,0.085139330294049,0.028858327730427,0.0902875098264597,0.0790793464394537,0.0293455641991464,-1,0,0
23,0.1142255980541488,0.0621044306643054,0.0285733678047048,0.1052706314764762,0.0707878632629855,0.0288622376943072,-1,0,0
24,0.0602853157327022,0.0632894514423238,0.0303133769118483,0.0933009180478711,0.0701777374668927,0.0292483574823267,-1,0,0
25,0.0723261127941967,0.0688329929573681,0.029924964103413,0.0822790088603492,0.0647422916879991,0.0296039029399887,-1,0,0
26,0.0573174637163807,0.0597740190326868,0.0304091140736651,0.0633096307477599,0.0639654878107929,0.0302158183629754,-1,0,0
27,0.0704739187342587,0.0703577037380503,0.0299847122988948,0.0667058317482787,0.0663215719093684,0.030106263491991,-1,0,0
28,0.0327497943883398,0.0689071125439136,0.03120161953586,0.053513725612993,0.0663462784382169,0.0305318153028066,-1,0,0
29,0.0288552841970514,0.0448344671320194,0.0313272488968693,0.0440263324398833,0.0613664278046611,0.0308378602438747,-1,0,0
30,0.0623131487285023,0.0443295284945522,0.0302479629442418,0.0413060757712978,0.0526903693901617,0.0309256104589903,-1,0,0
31,0.0490330778344977,0.0027721756902223,0.0306763523279194,0.0467338369200171,0.0306453904389313,0.0307505213896768,-1,0,0
32,0.0128418438466304,0.0028553808888949,0.0318438114888183,0.0413960234698768,0.0166523616912231,0.0309227089203265,-1,0,0
33,0.001399935234101,4.765483483988385e-05,0.0322129053150289,0.021091618971743,0.0018917371379857,0.0315776897105889,-1,0,0
34,0.0002283350154695,0.0455205755805978,0.0322506988704687,0.0048233713654003,0.0161412037681108,0.0321024718914387,-1,0,0
35,3.1956121743931705e-05,0.0011233966189589,0.0322570336734921,0.0005534087904381,0.0155638756781322,0.0322402126196632,-1,0,0
36,0.0012262381892279,0.0010294595535987,0.0322185084455087,0.0004955097754804,0.0158911439177185,0.0322420803298232,-1,0,0
