time,normalized_saliency,sa_normalized_saliency,other_normalized_saliency,normalized_saliency_smoothed,sa_normalized_saliency_smoothed,other_normalized_saliency_smoothed,Highlight,Task_D2_zone,Task
1,0.1103611901031799,0.0898374783804649,0.0286980261257038,0.1103611901031799,0.0898374783804649,0.0286980261257038,-1,1,1
2,0.0764844928067816,0.1722182825936341,0.0297908228126844,0.0934228414549807,0.1310278804870495,0.0292444244691941,-1,1,1
3,0.0206372954395005,0.2304540723539034,0.0315923453084032,0.069160992783154,0.1641699444426675,0.0300270647489305,-1,1,1
4,0.0459460779513699,0.2346248200651006,0.0307759329693106,0.0476892887325506,0.2124323916708793,0.0307197003634661,-1,1,1
5,0.0642097935259115,0.1588064037022739,0.0301867808540028,0.043597722305594,0.2079617653737593,0.0308516863772389,-1,1,1
6,0.0117440498759687,0.0807591673069015,0.0318792241975494,0.04063330711775,0.1580634636914253,0.0309473126736209,-1,1,1
7,0.0093440580969001,0.0792996122594232,0.0319566432871967,0.0284326338329268,0.1062883944228662,0.031340882779583,-1,1,1
8,0.0221764821431947,0.0713204279288274,0.031542694124413,0.0144215300386878,0.077126402498384,0.0317928538697197,-1,1,1
9,0.0048882848534637,0.0909876579683687,0.0321003779079527,0.0121362750311862,0.0805358993855398,0.0318665717731875,-1,1,1
10,0.0060091294000572,0.088366818837372,0.0320642216322562,0.0110246321322385,0.0835583015781893,0.0319024312215406,-1,1,1
11,0.0522858156237028,0.1807948887759185,0.0305714253024612,0.0210610766257412,0.1200497885272197,0.0315786749475567,1,1,1
12,0.021207367599566,0.2025389413041133,0.0315739558838849,0.026500770874442,0.1572335496391346,0.0314032009395341,1,1,1
13,0.0716446232473433,0.1059271126475113,0.0299469476371824,0.0483792688235373,0.163086980909181,0.0306974429411762,1,1,1
14,0.1763640567653248,0.0371868767665006,0.0265689013946669,0.0897386825374114,0.1152176435727084,0.0293632683052448,1,1,1
15,0.6179237710128319,0.0838571721319499,0.0123250396447473,0.2886441503418334,0.0756570538486539,0.0229469628921989,1,1,1
16,0.5587770889034663,0.0576329668195715,0.0142329971321462,0.4510216388938743,0.0595590052393406,0.0177089793905201,1,1,1
17,0.5847505117196804,0.0358182618336309,0.0133951447832361,0.5871504572119929,0.0591028002617174,0.0133177271867099,1,1,1
18,0.6197197978311597,0.060162943778376,0.012267103295769,0.587749132818102,0.0512047241438594,0.0132984150703838,1,1,1
19,0.5933516649247434,0.0200920216017966,0.013117688228234,0.5992739914918612,0.0386910757379345,0.0129266454357464,1,1,1
20,0.375936661259084,0.116882415785082,0.0201310754432553,0.5296693746716623,0.0657124603884182,0.0151719556557528,1,1,1
21,0.2728434894218368,0.1375210286490667,0.0234566616315536,0.4140439385352214,0.0914984886786484,0.0189018084343477,1,1,1
22,0.122793021176387,0.0990688304715363,0.0282969993168907,0.2571910572857692,0.1178240916352283,0.0239615787972332,1,1,1
23,0.2287225402756408,0.1475267150704173,0.0248799180556244,0.2081196836246215,0.1280388580636734,0.0255445263346896,1,1,1
24,0.2228994829646925,0.1613458867935013,0.0250677586140421,0.1914716814722401,0.1359804774451516,0.0260815586621858,1,1,1
25,0.2340701232668299,0.1350676746978742,0.0247074153784893,0.2285640488357211,0.1479800921872642,0.0248850306827186,1,1,1
26,0.2168299304443882,0.1542957845367484,0.0252635506308261,0.2245998455586368,0.1502364486760412,0.0250129082077859,1,1,1
27,0.1895967954666569,0.1987308993503761,0.0261420388559142,0.2134989497259583,0.1626981195283328,0.0253710016217432,1,1,1
28,0.1919340119464446,0.1402601190022887,0.0260666447759211,0.19945357928583,0.164428934296471,0.0258240780875538,1,1,1
29,0.2160490798339921,0.161850382640888,0.0252887393601938,0.1991932957490312,0.1669471336645176,0.0258324743306764,1,1,1
30,0.1134218659881505,0.1307658466409131,0.0285992946455435,0.1738016525895291,0.1442921160946966,0.0266515595938861,1,1,1
31,0.1073118114612644,0.1746864770097844,0.0287963931786688,0.1455942524278023,0.1557675687638618,0.0275614757281354,1,1,1
32,0.1453753717985451,0.1773826353689205,0.0275685363935953,0.12203634974932,0.1609449863398726,0.0283214080726025,1,1,1
33,0.0689886826654409,0.1268266328537813,0.0300326231398244,0.1072252886417501,0.1596319150774953,0.0287991842373629,1,1,1
34,0.06769385889586,0.1825217232160957,0.0300743916485206,0.094019304453282,0.1622436638129325,0.0292251837273134,1,1,1
35,0.0794362021269507,0.197744039117977,0.0296956063830015,0.0720395812294172,0.1690307983959513,0.0299342070571155,1,1,1
36,0.060826539900942,0.2162561143960612,0.0302959180677115,0.0693188669745842,0.1988406255767113,0.0300219720330779,1,1,1
37,0.0978821387133926,0.1840866258835898,0.0291005761705357,0.0793816269137618,0.1993622597992093,0.0296973668737496,1,1,1
38,0.0829435978000805,0.2243048017127688,0.0295824645870941,0.080550758804805,0.2082158473308065,0.0296596529417804,1,1,1
39,0.0391042526804739,0.1909557296715677,0.0309966370103072,0.0733099963979823,0.1997823857559754,0.0298932259226457,1,1,1
40,0.0487344284153609,0.1415808687755253,0.0306859861801496,0.0569274262986384,0.1856138000532873,0.0304216959258503,1,1,1
41,0.0272134137955417,0.1329484001784858,0.0313802124582083,0.0383506982971255,0.1551616662085262,0.0310209452162217,1,1,1
42,0.0164061297084061,0.1568868746241985,0.0317288345255352,0.0307846573064362,0.1438053811927365,0.031265011054631,1,1,1
43,0.0109979617244856,0.2115535630925311,0.0319032915572746,0.0182058350761444,0.1671296126317384,0.0316707795136727,1,1,1
44,0.0078855723017254,0.1793597305628252,0.0320036912160733,0.0117632212448724,0.1826000560931849,0.0318786057662944,1,1,1
45,0.0017811640622679,0.0696645335927989,0.0322006076108945,0.0068882326961596,0.1535259424160517,0.0320358634614142,1,1,1
46,0.0263197179266248,0.105727235304159,0.0314090413572056,0.0119954847635394,0.1182504998199277,0.0318711133947245,1,1,1
47,0.0222729329667023,0.1310475142762642,0.0315395828075257,0.016791271651865,0.1021464277244073,0.0317164105918753,1,1,1
48,0.0030277488213758,0.2011507464895124,0.0321603951993104,0.017206799904901,0.1459751653566452,0.0317030064546806,1,1,1
49,0.0702576335548031,0.042564324188646,0.0299916892401676,0.0318527717809604,0.1249208616514742,0.0312305557490012,1,1,1
50,0.0636337865870579,0.0731506961822903,0.0302053617229981,0.0456397229877456,0.1056219222868162,0.030785815387492,1,1,1
51,0.1347358820977885,0.0757476072370741,0.027911745738781,0.0895424340798832,0.0638208758693368,0.0293695989006489,1,1,1
52,0.110059653582981,0.108170024263634,0.0287077531102264,0.1028097740892758,0.0856894425609995,0.0289416201906685,1,1,1
53,0.1150053454393628,0.112263534718679,0.0285482146632463,0.1199336270400441,0.0987270554064623,0.0283892378374179,1,1,1
54,0.0798925259527519,0.2233503479081583,0.0296808862595886,0.1016525083250319,0.1479279689634904,0.0289789513443538,1,1,1
55,0.0794771630192846,0.1883624081005648,0.029694285063894,0.0914583448037998,0.1746587635758007,0.0293077953289096,1,1,1
56,0.106361658460121,0.2245584306841514,0.0288270432754799,0.0885771158107192,0.2120903955642915,0.0294007381996542,1,1,1
57,0.1234123635304738,0.1366329630296047,0.028277020531275,0.1030837283366264,0.1831846006047736,0.028932782956883,1,1,1
58,0.0811361655918559,0.0956638707475983,0.0296407688518756,0.1036367291941502,0.1522850881537848,0.0289149442195435,1,1,1
59,0.0497492554106771,0.1067328502956034,0.030653249825462,0.084765928177669,0.1130098946909355,0.0295236797362042,1,1,1
60,0.000374148107196,0.0723615203972428,0.0322459952223485,0.043753189703243,0.0915860804801482,0.0308466712998953,1,1,1
