time,normalized_saliency,sa_normalized_saliency,other_normalized_saliency,normalized_saliency_smoothed,sa_normalized_saliency_smoothed,other_normalized_saliency_smoothed,Highlight,Task_D3_rotor,Task
1,0.0596843310464224,0.0427703913356403,0.0303327635146315,0.0596843310464224,0.0427703913356403,0.0303327635146315,-1,1,1
2,0.0471296518575329,0.0449065826448618,0.030737753165886,0.0534069914519776,0.0438384869902511,0.0305352583402587,-1,1,1
3,0.0099075379989667,0.0315703066348993,0.0319384665161623,0.0389071736343073,0.0397490935384671,0.0310029943988933,-1,1,1
4,0.0029996848337113,0.0381290353989821,0.0321613004892351,0.0200122915634036,0.0382019748929144,0.0316125067237611,-1,1,1
5,0.0001347009045485,0.0001403087690176,0.0322537193256597,0.0043473079124088,0.0232798836009663,0.032117828777019,-1,1,1
6,1.615541889697175e-05,0.0009762799329847,0.0322575433735839,0.0010501803857189,0.0130818747003281,0.0322241877294929,-1,1,1
7,2.240224595217975e-05,9.35351506250804e-06,0.0322573418630338,5.775285646589679e-05,0.0003753140723549,0.0322562015207591,-1,1,1
8,0.0067584922753163,0.0406510027218231,0.0320400486362801,0.0022656833133885,0.0138788787232901,0.0321849779576326,-1,1,1
9,2.023283691800325e-05,1.6057807077780357e-06,0.0322574118439703,0.0022670424527288,0.0135539873391977,0.0321849341144281,-1,1,1
10,0.0003983054784403,0.0160917197912593,0.0322452159523083,0.0023923435302249,0.01891477609793,0.0321808921441863,-1,1,1
11,0.0399964866172447,0.0742902113284468,0.0309678552704114,0.0134716749775343,0.0301278456334713,0.0318234943555634,1,1,1
12,0.020430431456098,0.0523044291445939,0.0315990183401258,0.020275074517261,0.0475621200881,0.0316040298542819,1,1,1
13,0.0354031457405329,0.0769750497094553,0.031116027556757,0.0319433546046252,0.0678565633941653,0.0312276337224314,1,1,1
14,0.1368318394193016,0.1414945173911392,0.0278441342122805,0.0642218055386441,0.0902579987483961,0.0301863933697211,1,1,1
15,0.313417792377584,0.0099621184188984,0.0221478131491101,0.1618842591791395,0.0761438951731643,0.0270359916393825,1,1,1
16,0.4755024148159645,0.0578566663677717,0.0169192769414204,0.3085840155376167,0.0697711007259365,0.0223037414342704,1,1,1
17,0.5545910657840465,0.0744245126811071,0.0143680301359985,0.4478370909925317,0.0474144324892591,0.0178117067421763,1,1,1
18,0.5927717511672086,0.0630334991214462,0.0131363951236384,0.5409550772557399,0.0651048927234417,0.0148079007336858,1,1,1
19,0.5899868185509665,0.061243476498831,0.0132262316596462,0.5791165451674072,0.0662338294337948,0.013576885639761,1,1,1
20,0.358696561041986,0.0693568015188009,0.020687207708323,0.5138183769200537,0.0645445923796927,0.0156832781638692,1,1,1
21,0.2508211689471622,0.0715986702026047,0.0241670590662205,0.3998348495133716,0.0673996494067455,0.0193601661447299,1,1,1
