time,normalized_saliency,sa_normalized_saliency,other_normalized_saliency,normalized_saliency_smoothed,sa_normalized_saliency_smoothed,other_normalized_saliency_smoothed,Highlight,Task_D4_rotor,Task
1,0.0357306216221333,0.0393539445462757,0.0311054638186408,0.0357306216221333,0.0393539445462757,0.0311054638186408,-1,1,1
2,0.0322643269805761,0.0023551532628324,0.0312172797748201,0.0339974743013547,0.0208545489045541,0.0311613717967304,-1,1,1
3,0.0421669894867022,0.0146248369950395,0.030897839048816,0.0367206460298039,0.0187779782680492,0.0310735275474256,-1,1,1
4,0.0368296900805678,0.0501592500803479,0.031070009997401,0.0370870021826154,0.0223797467794066,0.0310617096070124,-1,1,1
5,0.0008035068267958,0.0,0.0322321449410711,0.0266000621313553,0.0215946956917958,0.0313999979957627,-1,1,1
6,0.03062732933609,0.0432239167011142,0.0312700861504487,0.0227535087478179,0.0311277222604873,0.0315240803629736,-1,1,1
7,0.0357724695075625,0.0077086998653487,0.0311041138868528,0.0224011018901494,0.0169775388554876,0.0315354483261242,-1,1,1
8,0.0255706586107083,0.0094562183571611,0.0314332045609448,0.0306568191514536,0.020129611641208,0.0312691348660821,-1,1,1
9,0.0335060407570169,0.0825357141802161,0.0311772244917091,0.0316163896250959,0.033233544134242,0.0312381809798356,-1,1,1
10,0.018979737741228,0.0898644069719733,0.0316458149115732,0.026018812369651,0.0606187798364502,0.0314187479880757,-1,1,1
11,0.006031286112687,0.0885384625355331,0.0320635068995907,0.0195056882036439,0.0869795278959075,0.0316288487676243,-1,0,0
12,0.0046373611472077,0.0961891906178758,0.0321084722210578,0.0098827950003742,0.0915306867084607,0.0319392646774072,-1,0,0
13,0.0019493172020721,0.1055790092975113,0.0321951833160621,0.0042059881539889,0.0967688874836401,0.0321223874789035,-1,0,0
14,0.0456970473033152,0.0870335086494723,0.030783966216022,0.017427908550865,0.0962672361882865,0.031695873917714,-1,0,0
15,0.0883194126799472,0.0917438648587523,0.0294090512038726,0.0453219257284448,0.0947854609352453,0.0307960669119856,-1,0,0
16,0.108212388363943,0.0446460364878394,0.0287673423108405,0.0807429494490684,0.074474469998688,0.0296534532435784,-1,0,0
17,0.1114377093793937,0.0010023404910608,0.0286632996974389,0.102656503474428,0.0457974139458842,0.0289465644040507,-1,0,0
18,0.1190172838484327,0.0443666922507882,0.0284187972952118,0.1128891271972565,0.0300050230765628,0.0286164797678304,-1,0,0
19,0.1412598455110581,0.002637775213882,0.0277012953060949,0.1239049462462948,0.016002269318577,0.0282611307662485,-1,0,0
20,0.106866796854899,0.0023257964268868,0.0288107484885516,0.1223813087381299,0.0164434212971857,0.0283102803632861,-1,0,0
21,0.0803376859654014,0.0017696301185579,0.0296665262591806,0.1094881094437861,0.0022444005864423,0.0287261900179423,-1,0,0
22,0.0921744577276945,0.0022673956287958,0.0292846949120098,0.0931263135159983,0.0021209407247469,0.0292539898865807,-1,0,0
23,0.0828145049772728,0.0019405183839484,0.0295866288717008,0.0851088828901229,0.0019925147104341,0.0295126166809637,-1,0,0
24,0.0620795440305465,0.0117048845178743,0.0302554985796597,0.0790228355785046,0.0053042661768728,0.0297089407877901,-1,0,0
25,0.0806532574063656,0.0006081362928908,0.0296563465352785,0.0751824354713949,0.0047511797315712,0.029832824662213,-1,0,0
26,0.0794563728856509,0.0037281177312844,0.029694955713366,0.074063058107521,0.0053470461806831,0.0298689336094348,-1,0,0
27,0.0719402331263009,0.0035741181442835,0.0299374118346354,0.0773499544727725,0.0026367907228195,0.0297629046944267,-1,0,0
28,0.082339040156425,0.0537453670078998,0.0296019664465669,0.0779118820561256,0.0203492009611559,0.0297447779981895,-1,0,0
29,0.078218311132127,0.0899578686268694,0.0297348931892862,0.077499194804951,0.0490924512596842,0.0297580904901628,-1,0,0
30,0.0844482526364572,0.0260654123266102,0.0295339273343078,0.0816685346416697,0.0565895493204598,0.0296235956567203,-1,0,0
31,0.108039569472343,0.0299548088667535,0.0287729171137953,0.0902353777469757,0.048659363273411,0.0293472458791298,-1,0,0
32,0.0829626860131359,0.0035698302652029,0.0295818488382859,0.0918168360406454,0.0198633504861889,0.029296231095463,-1,0,0
33,0.0396214127434373,0.0716388802494877,0.030979954427631,0.0768745560763054,0.0350545064604814,0.0297782401265707,-1,0,0
34,0.1034526178817032,0.0737934784933114,0.0289208832941386,0.0753455722127588,0.0496673963360007,0.0298275621866852,-1,0,0
35,0.0757617450462246,0.0052125113774884,0.0298141372565734,0.0729452585571217,0.0502149567067625,0.0299049916594476,-1,0,0
36,0.0992129375876003,0.0401132947236491,0.0290576471745935,0.0928091001718427,0.0397064281981496,0.0292642225751018,-1,0,0
37,0.0693061896468294,0.0092027352971215,0.0300223809791345,0.0814269574268848,0.0181761804660863,0.0296313884701004,-1,0,0
38,0.0728406598426857,0.0110203930090484,0.0299083658115262,0.0804532623590385,0.0201121410099397,0.0296627979884181,-1,0,0
39,0.0922231078233061,0.0350053128187579,0.0292831255540868,0.0781233191042737,0.0184094803749759,0.0297379574482492,-1,0,0
40,0.0782566190011371,0.0353372646493514,0.0297336574515762,0.0811067955557096,0.0271209901590526,0.0296417162723964,-1,0,0
41,0.0795726039130118,0.0360140527392937,0.0296912063253867,0.083350776912485,0.0354522100691343,0.0295693297770166,-1,0,0
42,0.086550385092015,0.0437224845642089,0.029466116609935,0.081459869335388,0.0383579339842847,0.0296303267956326,-1,0,0
43,0.0443153380374299,0.0362843697169949,0.0308285374826635,0.0701461090141522,0.0386736356734992,0.029995286805995,-1,0,0
44,0.0858655373810967,0.0911135618379682,0.0294882084715775,0.0722437535035139,0.0570401387063907,0.0299276208547253,-1,0,0
45,0.0753430257063076,0.0541669284158216,0.0298276443320545,0.0685079670416114,0.0605216199902615,0.0300481300954318,-1,0,0
46,0.0840396561047365,0.0518443032996816,0.0295471078675891,0.0817494063973803,0.0657082645178238,0.029620986890407,-1,0,0
47,0.0973743890039233,0.0519963369618297,0.0291169551934218,0.0855856902716558,0.052669189559111,0.0294972357976885,-1,0,0
48,0.0514396310508443,0.0589555717327257,0.030598721579005,0.077617892053168,0.054265403998079,0.029754261546672,-1,0,0
49,0.1150487563344927,0.0510315001510543,0.0285468143117905,0.0879542587964201,0.0539944696152032,0.0294208303614058,-1,0,0
50,0.1073555206578913,0.0305374701954257,0.0287949832045841,0.0912813026810761,0.0468415140264019,0.0293135063651265,-1,0,0
51,0.0852744522323741,0.1024006973782634,0.0295072757344395,0.1025595764082527,0.0613232225749145,0.0289496910836047,-1,0,0
52,0.0566692752323144,0.0967064715508549,0.0304300233796027,0.0830997493741933,0.0765482130415147,0.0295774274395421,-1,0,0
53,0.0107959260943652,0.0725720651401633,0.0319098088356656,0.0509132178530179,0.0905597446897605,0.0306157026499026,-1,0,0
54,0.0621491520346808,0.0536396270255978,0.0302532531601715,0.0432047844537868,0.0743060545722053,0.0308643617918133,-1,0,0
55,0.0497294102230239,0.1057568550107204,0.0306538899928056,0.0408914961173566,0.0773228490588272,0.0309389839962143,-1,0,0
56,0.0888028491598854,0.044278524445801,0.0293934564787133,0.0668938038058634,0.0678916688273731,0.0301001998772302,-1,0,0
57,0.0515903650935359,0.0485204770250834,0.0305938591905311,0.0633742081588151,0.0661852854938683,0.0302137352206833,-1,0,0
58,0.0440965817701226,0.0765946249918829,0.0308355941364476,0.0614965986745146,0.0564645421542557,0.030274303268564,-1,0,0
59,0.0573738382536372,0.063991748769869,0.0304072955402052,0.0510202617057652,0.0630356169289451,0.0306122496223946,-1,0,0
60,0.0451662635261204,0.0630180123660748,0.0308010882733509,0.0488788945166267,0.0678681287092756,0.0306813259833346,-1,0,0
