time,normalized_saliency,sa_normalized_saliency,other_normalized_saliency,normalized_saliency_smoothed,sa_normalized_saliency_smoothed,other_normalized_saliency_smoothed,Highlight,Task_D2_battery,Task
1,0.0316541099641557,0.0032747314432624,0.0312369641947046,0.0316541099641557,0.0032747314432624,0.0312369641947046,-1,0.8092571519901793,0.8092571519901793
2,0.0202180642556707,0.0011198095761256,0.0316058688949783,0.0259360871099132,0.002197270509694,0.0314214165448415,-1,0.8092571519901793,0.8092571519901793
3,0.0254499546433242,0.0509646855595514,0.0314370982373121,0.0257740429543835,0.0184530755263131,0.031426643775665,-1,0.8092571519901793,0.8092571519901793
4,0.0475469545504649,0.055500868863272,0.0307242917886946,0.0310716578164866,0.0358617879996496,0.0312557529736617,-1,0.8092571519901793,0.8092571519901793
5,0.0476915894964777,0.0780479875578901,0.0307196261452749,0.0402294995634222,0.0615045139935711,0.0309603387237605,-1,0.8092571519901793,0.8092571519901793
6,0.047303855278392,0.0595494193288963,0.030732133700697,0.0475141331084449,0.0643660919166861,0.0307253505448888,-1,0.8092571519901793,0.8092571519901793
7,0.096207242749879,0.0593104954422481,0.0291546050725845,0.0637342291749162,0.0656359674430115,0.0302021216395188,-1,0.8092571519901793,0.8092571519901793
8,0.0857066267183069,0.0569738261022778,0.02949333462199,0.0764059082488593,0.0586112469578074,0.0297933577984238,-1,0.8092571519901793,0.8092571519901793
9,0.1028219017411275,0.0544267819666663,0.0289412289760926,0.0949119237364378,0.0569037011703974,0.0291963895568891,-1,0.8092571519901793,0.8092571519901793
10,0.0930561851984872,0.0750962709480056,0.0292562520903713,0.0938615712193072,0.0621656263389832,0.0292302718961513,-1,0.8092571519901793,0.8092571519901793
11,0.0284786153178383,0.1046696892077693,0.0313393995058761,0.074785567419151,0.0780642473741471,0.0298456268574467,1,0.0799257151990179,0.07992571519901794
12,0.0345139766302302,0.1131758328163685,0.0311447104312828,0.0520162590488519,0.0976472643240478,0.0305801206758434,1,0.0799257151990179,0.07992571519901794
13,0.0599677953161202,0.1188814184966442,0.0303236195059316,0.0409867957547296,0.1122423135069273,0.0309359098143635,1,0.0799257151990179,0.07992571519901794
14,0.0742095303947088,0.1132064920283363,0.0298642086969448,0.0562304341136864,0.1150879144471163,0.0304441795447197,1,0.0799257151990179,0.07992571519901794
15,0.381620576022512,0.0164936312841932,0.0199477233541125,0.1719326339111137,0.0828605139363912,0.0267118505189963,1,0.0799257151990179,0.07992571519901794
16,0.4835610971628242,0.0,0.0166593194463605,0.3131304011933483,0.0432333744375098,0.0221570838324726,1,0.0799257151990179,0.07992571519901794
17,0.4388477404275987,0.0,0.0181016857926581,0.4346764712043116,0.005497877094731,0.018236242864377,1,0.0799257151990179,0.07992571519901794
18,0.4682850117362974,0.0004010580115059,0.0171520963956033,0.46356461644224,0.0001336860038353,0.0173043672115406,1,0.0799257151990179,0.07992571519901794
19,0.49526495898114,0.0004083976031929,0.0162817755167374,0.467465903715012,0.0002698185382329,0.0171785192349996,1,0.0799257151990179,0.07992571519901794
20,0.3892547304039321,0.0107159355482464,0.0197014603095505,0.4509349003737898,0.0038417970543151,0.0177117774072971,1,0.0799257151990179,0.07992571519901794
21,0.3978728244896907,0.011024466673095,0.0194234572745261,0.4274641712915876,0.0073829332748447,0.0184688977002713,1,0.0799257151990179,0.07992571519901794
22,0.3766851671672173,0.0730312497318947,0.02010693009138,0.38793757402028,0.0315905506510787,0.0197439492251522,1,0.0799257151990179,0.07992571519901794
23,0.452881022352893,0.1184652665555413,0.0176489992789389,0.4091463380032669,0.067506994320177,0.0190597955482817,1,0.0799257151990179,0.07992571519901794
24,0.473569888903919,0.1283401524734211,0.0169816164869703,0.4343786928080097,0.1066122229202857,0.0182458486190964,1,0.0799257151990179,0.07992571519901794
25,0.3790621660445415,0.0792254609747688,0.0200302527082405,0.4351710257671178,0.1086769600012437,0.0182202894913832,1,0.0799257151990179,0.07992571519901794
26,0.2921614048218685,0.0866220758786512,0.0228335030702623,0.3815978199234429,0.098062563108947,0.0199484574218244,1,0.0799257151990179,0.07992571519901794
27,0.3054596221676423,0.110968957175306,0.0224045283171728,0.325561064344684,0.092272164676242,0.0217560946985585,1,0.0799257151990179,0.07992571519901794
28,0.2755896462707932,0.1665891715191755,0.0233680759267486,0.2910702244201013,0.1213934015243776,0.0228687024380612,1,0.0799257151990179,0.07992571519901794
29,0.2512832502851522,0.0395921580809036,0.0241521532166079,0.2774441729078625,0.1057167622584617,0.0233082524868431,1,0.0799257151990179,0.07992571519901794
30,0.2289632329943267,0.0163530249304802,0.0248721537743765,0.2519453765167574,0.0741781181768531,0.024130794305911,1,0.0799257151990179,0.07992571519901794
31,0.2849417384551083,0.0022670483671957,0.0230663955337061,0.2550627405781957,0.0194040771261932,0.0240302341748969,1,0.0799257151990179,0.07992571519901794
32,0.2501397923720146,0.037892498013055,0.0241890389557414,0.2546815879404832,0.0188375237702436,0.0240425294212747,1,0.0799257151990179,0.07992571519901794
33,0.2627541211515836,0.0260680711630999,0.0237821251241424,0.2659452173262355,0.0220758725144502,0.0236791865378633,1,0.0799257151990179,0.07992571519901794
34,0.2340336391179693,0.0887266312225346,0.0247085922865171,0.2489758508805225,0.0508957334662298,0.024226585455467,1,0.0799257151990179,0.07992571519901794
35,0.1045530124986809,0.1176463023540981,0.0288853866935909,0.200446924256078,0.0774803349132442,0.0257920347014168,1,0.0799257151990179,0.07992571519901794
36,0.1725848038238271,0.1180588716139109,0.0266908127798765,0.1703904851468257,0.1081439350635146,0.0267615972533282,1,0.0799257151990179,0.07992571519901794
37,0.1521699638765536,0.1525894712579099,0.0273493560039821,0.1431025933996872,0.1294315484086396,0.0276418518258165,1,0.0799257151990179,0.07992571519901794
38,0.1345024363628262,0.0593638323712321,0.0279192762463604,0.1530857346877356,0.110004058414351,0.027319815010073,1,0.0799257151990179,0.07992571519901794
