time,normalized_saliency,sa_normalized_saliency,other_normalized_saliency,normalized_saliency_smoothed,sa_normalized_saliency_smoothed,other_normalized_saliency_smoothed,Highlight,Task_D3_zone,Task
1,0.0255934651076321,0.1045902056367913,0.0314324688674957,0.0255934651076321,0.1045902056367913,0.0314324688674957,-1,1,1
2,0.1188498817618624,0.1527196956983412,0.0284241973625205,0.0722216734347473,0.1286549506675663,0.0299283331150081,-1,1,1
3,0.1102220811755883,0.2204039220921429,0.0287025135104648,0.0848884760150276,0.1592379411424251,0.0295197265801604,-1,1,1
4,0.0132214207474285,0.0897012499910981,0.0318315670726635,0.080764461228293,0.1542749559271941,0.0296527593152163,-1,1,1
5,0.027650342004337,0.1005147784305776,0.03136611799986,0.0503646146424513,0.1368733168379395,0.0306333995276628,-1,1,1
6,0.0302518663638927,0.0559724798934024,0.0312821978592292,0.0237078763718861,0.082062836105026,0.0314932943105843,-1,1,1
7,0.0106815326345812,0.1123476011523417,0.0319134989472715,0.022861247000937,0.0896116198254406,0.0315206049354536,-1,1,1
8,0.044675799159768,0.0902349557153909,0.0308169097045236,0.0285363993860806,0.0861850122537117,0.0313375355036748,-1,1,1
9,0.0420624025577992,0.1560333504713652,0.0309012128207161,0.0324732447840495,0.1195386357796993,0.0312105404908371,-1,1,1
10,0.0318541925521416,0.1105321286680676,0.0312305099176728,0.0395307980899029,0.1189334782849412,0.0309828774809708,-1,1,1
11,0.1326320797720676,0.0532119170052753,0.0279796103299333,0.0688495582940028,0.1065924653815694,0.0300371110227741,1,1,1
12,0.1650553337664445,0.0310408641552889,0.0269336989107598,0.1098472020302179,0.0649283032762106,0.028714606386122,1,1,1
13,0.330397990380527,0.1081926477031983,0.0216000648264346,0.2093618013063463,0.0641484762879208,0.0255044580223759,1,1,1
14,0.3976752974075037,0.1177578131244065,0.0194298291158869,0.2977095405181584,0.0856637749942979,0.0226545309510271,1,1,1
15,0.538427680243197,0.0703057993063073,0.0148894296695742,0.4221669893437426,0.098752086711304,0.0186397745372986,1,1,1
16,0.5394113329017672,0.0650466607322719,0.0148576989386526,0.4918381035174892,0.0843700910543285,0.0163923192413713,1,1,1
17,0.497361232913596,0.0794942019993055,0.0162141537769807,0.5250667486861867,0.0716155540126282,0.0153204274617359,1,1,1
18,0.3876799578129265,0.0320805289411838,0.0197522594253894,0.4748175078760965,0.0588737972242537,0.0169413707136743,1,1,1
19,0.371359284817345,0.0356460688488383,0.0202787327478275,0.4188001585146225,0.0490735999297759,0.0187483819833992,1,1,1
20,0.3456991767426648,0.0196085281812544,0.0211064781695914,0.3682461397909788,0.0291117086570922,0.0203791567809361,1,1,1
21,0.1995281367995948,0.0152359717975447,0.0258216730064646,0.3055288661198682,0.0234968562758791,0.0224022946412945,1,1,1
22,0.2115816819422612,0.0243122561981545,0.0254328489696044,0.2522696651615069,0.0197189187256512,0.0241203333818868,1,1,1
