time,normalized_saliency,sa_normalized_saliency,other_normalized_saliency,normalized_saliency_smoothed,sa_normalized_saliency_smoothed,other_normalized_saliency_smoothed,Highlight,Task_D3_rotor,Task
1,0.0234828121628405,0.0669516507546324,0.0315005544463599,0.0234828121628405,0.0669516507546324,0.0315005544463599,-1,1,1
2,0.0045818103711172,0.1241166284832438,0.0321102641815768,0.0140323112669788,0.0955341396189381,0.0318054093139684,-1,1,1
3,0.0506260706334766,0.0679609969796801,0.0306249654634362,0.0262302310558114,0.0863430920725188,0.0314119280304577,-1,1,1
4,0.000278714730935,0.0998142471762541,0.0322490737183569,0.0184955319118429,0.097297290879726,0.0316614344544566,-1,1,1
5,0.0059859794091029,0.0707941170745781,0.0320649684061579,0.0189635882578382,0.0795231204101708,0.0316463358626503,-1,1,1
6,0.0054422363168167,0.096387482921042,0.0320825085059091,0.0039023101522849,0.0889986157239581,0.0321321835434746,-1,1,1
7,8.352051815245845e-05,0.0497371500721768,0.032255370305866,0.0038372454146907,0.072306250022599,0.0321342824059777,-1,1,1
8,0.0156271063358673,0.0926260756791316,0.0317539643117462,0.0070509543902788,0.0795835695574501,0.0320306143745071,-1,1,1
9,0.051781869046874,0.0648516774888607,0.0305876816436492,0.0224974986336313,0.0690716344133897,0.0315323387537538,-1,1,1
10,0.0376031452142201,0.0074736461013102,0.0310450598317993,0.0350040401989872,0.0549837997564342,0.0311289019290649,-1,1,1
11,0.0150673550439312,0.0677330119393332,0.0317720208050344,0.0348174564350084,0.0466861118431681,0.031134920760161,1,1,1
12,0.0134462776560409,0.0490913395774834,0.0318243136239986,0.0220389259713974,0.0414326658727089,0.0315471314202775,1,1,1
13,0.0089946043368813,0.0035941698749628,0.0319679159891328,0.0125027456789511,0.0401395071305931,0.0318547501393886,1,1,1
14,0.0921366592599949,0.0005957794304847,0.0292859142174195,0.0381925137509724,0.0177604296276436,0.031026047943517,1,1,1
15,0.233938125797156,0.0052888912324471,0.024711673361382,0.1116897964646774,0.0031596135126315,0.0286551678559781,1,1,1
16,0.3644510114426255,0.0024471893306673,0.0205015802760443,0.2301752654999254,0.002777286664533,0.0248330559516153,1,1,1
17,0.4585786821681095,0.0059480090648285,0.0174652038010287,0.352322606469297,0.0045613632093143,0.0208928191461517,1,1,1
18,0.4776534577639943,0.0065323725996476,0.0168498884592259,0.433561050458243,0.0049758569983812,0.0182722241787663,1,1,1
19,0.4173808427553251,0.0077386393424522,0.0187941663627314,0.4512043275624762,0.0067396736689761,0.017703086207662,1,1,1
20,0.3686493297782972,0.0068675690826196,0.0203661506523129,0.4212278767658722,0.0070461936749065,0.0186700684914234,1,1,1
21,0.3420298450215187,0.0271080594773132,0.0212248437089832,0.3760200058517136,0.0139047559674617,0.0201283869080092,1,1,1
22,0.3116329395040958,0.0471963897258192,0.0222053890482549,0.3407707047679705,0.027057339428584,0.021265461136517,1,1,1
