time,normalized_saliency,sa_normalized_saliency,other_normalized_saliency,normalized_saliency_smoothed,sa_normalized_saliency_smoothed,other_normalized_saliency_smoothed,Highlight,Task_D2_battery,Task
1,0.046554952078956,0.0713514998565954,0.0307562918684207,0.046554952078956,0.0713514998565954,0.0307562918684207,-1,0.8752235744471587,0.8752235744471587
2,0.0053853799335801,0.0669836632974722,0.0320843425827877,0.025970166006268,0.0691675815770338,0.0314203172256042,-1,0.8752235744471587,0.8752235744471587
3,0.0049100690328329,0.0689231082374766,0.0320996751924892,0.0189501336817897,0.0690860904638481,0.0316467698812325,-1,0.8752235744471587,0.8752235744471587
4,0.0064232395342458,0.1267675632747116,0.0320508632408307,0.0055728961668863,0.0875581116032202,0.0320782936720359,-1,0.8752235744471587,0.8752235744471587
5,0.0061426965569727,0.1258487371230932,0.0320599130142912,0.0058253350413505,0.1071798028784271,0.032070150482537,-1,0.8752235744471587,0.8752235744471587
6,0.0,0.2082518262979819,0.032258064516129,0.0041886453637395,0.1536227088985955,0.0321229469237503,-1,0.8752235744471587,0.8752235744471587
7,0.0,0.1373801217892878,0.032258064516129,0.0020475655189909,0.1571602284034543,0.0321920140155164,-1,0.8752235744471587,0.8752235744471587
8,0.0003586522282533,0.1565679854183397,0.0322464950894111,0.0001195507427511,0.1673999778352032,0.0322542080405564,-1,0.8752235744471587,0.8752235744471587
9,0.0003120516174164,0.1420180768662713,0.032247998334922,0.0002235679485565,0.1453220613579663,0.0322508526468207,-1,0.8752235744471587,0.8752235744471587
10,0.0339794583670034,0.1313534459650592,0.0311619529559031,0.011550054070891,0.1433131694165567,0.0318854821267454,-1,0.8752235744471587,0.8752235744471587
11,0.0365089234330997,0.0104864129149978,0.0310803573086096,0.0236001444725065,0.0946193119154428,0.0314967695331449,1,0.8752235744471587,0.8752235744471587
12,0.0831881428873476,0.0114373130713664,0.029574576035892,0.0512255082291502,0.0510923906504745,0.0306056287668016,1,0.8752235744471587,0.8752235744471587
13,0.1037765492725665,0.0131211328857762,0.0289104338944333,0.0744912051976713,0.0116816196240468,0.0298551224129783,1,0.8752235744471587,0.8752235744471587
14,0.2302083597920478,0.0074265944193624,0.0248319883938049,0.1390576839839873,0.0106616801255017,0.02777233277471,1,0.8752235744471587,0.8752235744471587
15,0.4011901406578212,0.0201951660506793,0.0193164470755541,0.2450583499074785,0.0135809644519393,0.0243529564545974,1,0.8752235744471587,0.8752235744471587
16,0.375258705191824,0.046642276468419,0.0201529449938121,0.3355524018805644,0.0247546789794869,0.0214337934877237,1,0.8752235744471587,0.8752235744471587
17,0.518649825765972,0.0492755000804757,0.0155274249752912,0.4316995572052057,0.038704314199858,0.0183322723482191,1,0.8752235744471587,0.8752235744471587
18,0.5816182088296761,0.0155877267436616,0.0134961868119459,0.491842246595824,0.0371685010975188,0.016392185593683,1,0.8752235744471587,0.8752235744471587
19,0.4967698532504727,0.0177599812064189,0.0162332305403073,0.5323459626153736,0.0275410693435187,0.0150856141091814,1,0.8752235744471587,0.8752235744471587
20,0.4440178326494869,0.0398879333993598,0.01793490862421,0.5074686315765453,0.0244118804498134,0.0158881086588211,1,0.8752235744471587,0.8752235744471587
21,0.4953688157375684,0.0013434319563518,0.0162784252987881,0.4787188338791761,0.0196637821873768,0.0168155214877685,1,0.8752235744471587,0.8752235744471587
22,0.4052782025757532,0.0175348473394095,0.0191845741104595,0.4482216169876028,0.0195887375650404,0.0177993026778192,1,0.8752235744471587,0.8752235744471587
23,0.3693862638247916,0.0017815203242738,0.020342378586297,0.4233444273793711,0.006886599873345,0.0186017926651815,1,0.8752235744471587,0.8752235744471587
24,0.3411456946579234,3.0170740747501223e-06,0.021253364688454,0.3719367203528227,0.006439794912586,0.0202601057950702,1,0.8752235744471587,0.8752235744471587
25,0.2883047640380557,0.0206332598469754,0.022957910837482,0.3329455741735902,0.0074725990817746,0.0215178847040777,1,0.8752235744471587,0.8752235744471587
26,0.2900648755976101,0.0482091125050201,0.0229011330452383,0.3065051114311963,0.0229484631420234,0.0223708028570581,1,0.8752235744471587,0.8752235744471587
27,0.2580454272304379,0.0811713543116724,0.0239340184764374,0.2788050222887012,0.050004575554556,0.0232643541197193,1,0.8752235744471587,0.8752235744471587
28,0.283148076824465,0.0647286753520198,0.0231242555863075,0.2770861265508377,0.0647030473895708,0.0233198023693278,1,0.8752235744471587,0.8752235744471587
29,0.2673048593989682,0.0463493303587101,0.0236353271161623,0.2694994544846237,0.0640831200074674,0.0235645337263024,1,0.8752235744471587,0.8752235744471587
30,0.2189267397410327,0.0689936944535738,0.025195911621257,0.2564598919881553,0.0600239000547679,0.0239851647745756,1,0.8752235744471587,0.8752235744471587
31,0.2447001092572169,0.0594735851075946,0.0243645126046059,0.2436439027990726,0.0582722033066261,0.024398583780675,1,0.8752235744471587,0.8752235744471587
32,0.2409291046895895,0.0879279751428055,0.024486157913239,0.234851984562613,0.0721317515679913,0.0246821940463673,1,0.8752235744471587,0.8752235744471587
33,0.2508822871310301,0.0,0.0241650875119022,0.2455038336926122,0.0491338534168,0.0243385860099157,1,0.8752235744471587,0.8752235744471587
34,0.1269407428127556,0.1060188394142017,0.0281632018447498,0.2062507115444584,0.0646489381856691,0.0256048157566303,1,0.8752235744471587,0.8752235744471587
35,0.182946261785581,0.0803073242186983,0.0263565722004651,0.1869230972431222,0.0621087212109667,0.0262282871857057,1,0.8752235744471587,0.8752235744471587
36,0.2059572813389018,0.0192688255268845,0.0256142812471322,0.1719480953124128,0.0685316630532615,0.0267113517641157,1,0.8752235744471587,0.8752235744471587
37,0.1211153749726911,0.028709419529111,0.0283511169363648,0.1700063060323913,0.0427618564248979,0.0267739901279873,1,0.8752235744471587,0.8752235744471587
38,0.1611087531653645,0.0181515582790177,0.0270610079624075,0.1627271364923191,0.0220432677783377,0.0270088020486348,1,0.8752235744471587,0.8752235744471587
39,0.1161102193831777,0.1069680755828735,0.0285125735682845,0.1327781158404111,0.051276351130334,0.0279748994890189,1,0.8752235744471587,0.8752235744471587
40,0.0857155651543013,0.1259909536675004,0.0294930462853451,0.1209781792342812,0.0837035291764639,0.0283555426053457,1,0.8752235744471587,0.8752235744471587
41,0.1024523835915389,0.1036733840435547,0.0289531489164019,0.101426056043006,0.1122108044313095,0.0289862562566772,1,0.8752235744471587,0.8752235744471587
42,0.1236154200868332,0.0683619835550461,0.0282704703197795,0.1039277896108911,0.0993421070887004,0.0289055551738422,1,0.8752235744471587,0.8752235744471587
43,0.0949065443675756,0.1040515578294266,0.0291965630849169,0.1069914493486492,0.0920289751426758,0.0288067274403661,1,0.8752235744471587,0.8752235744471587
44,0.0824928134431686,0.0775879888754046,0.0295970060179623,0.1003382592991925,0.0833338434199591,0.0290213464742195,1,0.8752235744471587,0.8752235744471587
45,0.0232783750039677,0.0570863444466781,0.0315071491934203,0.066892577604904,0.0795752970505031,0.0301002394320998,1,0.8752235744471587,0.8752235744471587
46,0.0296056653274391,0.0247816550783318,0.0313030430539535,0.0451256179248585,0.0531519961334715,0.0308023994217787,1,0.8752235744471587,0.8752235744471587
47,0.0036489137877544,0.0646036236222213,0.0321403576197498,0.0188443180397204,0.0488238743824104,0.0316501832890412,1,0.8752235744471587,0.8752235744471587
48,0.1087998404349109,0.0623978499565491,0.0287483922440351,0.0473514731833681,0.0505943762190341,0.0307305976392461,1,0.8752235744471587,0.8752235744471587
49,0.1079930445214861,0.1381916673534676,0.0287744179186617,0.0734805995813838,0.0883977136440793,0.0298877225941489,1,0.8752235744471587,0.8752235744471587
50,0.0256114213267698,0.0891294442332644,0.0314318896346203,0.0808014354277223,0.0965729871810937,0.0296515665991057,1,0.8752235744471587,0.8752235744471587
51,0.0276735312265814,0.1161088777112385,0.0313653699604328,0.0537593323582792,0.1144766630993235,0.0305238925045716,1,0.8752235744471587,0.8752235744471587
52,0.0604067862726483,0.0430336682353456,0.0303094585073339,0.0378972462753332,0.0827573300599495,0.0310355727007957,1,0.8752235744471587,0.8752235744471587
53,0.0783031647494627,0.0017741625427376,0.0297321559758237,0.0554611607495642,0.0536389028297739,0.0304689948145301,1,0.8752235744471587,0.8752235744471587
54,0.0931897050172198,0.0008366742111811,0.0292519449994445,0.0772998853464436,0.0152148349964214,0.029764519827534,1,0.8752235744471587,0.8752235744471587
55,0.0622309578963,0.0007644333036532,0.0302506142614096,0.0779079425543275,0.0011250900191907,0.0297449050788926,1,0.8752235744471587,0.8752235744471587
56,0.0946511483624334,0.0009098193271265,0.0292048016657279,0.0833572704253177,0.000836975613987,0.0295691203088607,1,0.8752235744471587,0.8752235744471587
57,0.0683869594145043,0.0425024477361067,0.030052033567274,0.0750896885577459,0.0147255667889621,0.0298358164981372,1,0.8752235744471587,0.8752235744471587
58,0.0148105421885831,0.0009909487745744,0.0317803050906908,0.0592828833218403,0.0148010719459359,0.0303457134412309,1,0.8752235744471587,0.8752235744471587
59,0.0542049817687556,0.0171970089024343,0.0305095167171369,0.0458008277906143,0.0202301351377051,0.0307806184583672,1,0.8752235744471587,0.8752235744471587
60,0.051107285098835,0.050855372332317,0.0306094424161666,0.0400409363520579,0.0230144433364419,0.0309664214079981,1,0.8752235744471587,0.8752235744471587
